# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   94       3.379682834469e-10       9.180319980068e-14      -2.582679915877e-12       0.000000000000e+00       1.193643285727e-11       1.592223932362e-12      -7.664425679327e-15 
   95       3.420058079628e-10       9.387301377692e-14      -2.670168821726e-12       0.000000000000e+00       1.161608697401e-11       1.557800521908e-12      -7.587415753046e-15 
   96       3.460733283350e-10       9.593348841565e-14      -2.758112122762e-12       0.000000000000e+00       1.130726989337e-11       1.524511235016e-12      -7.507796913076e-15 
   97       3.501699254400e-10       9.798260976456e-14      -2.846440740414e-12       0.000000000000e+00       1.100915098161e-11       1.492261955913e-12      -7.427421727517e-15 
   98       3.542944388229e-10       1.000183260132e-13      -2.935083909426e-12       0.000000000000e+00       1.072073454039e-11       1.460940388930e-12      -7.348286222294e-15 
   99       3.584457559089e-10       1.020385943441e-13      -3.023970569706e-12       0.000000000000e+00       1.044108804357e-11       1.430442681282e-12      -7.272129668449e-15 
  100       3.626237458763e-10       1.040415286730e-13      -3.113033753647e-12       0.000000000000e+00       1.017007518418e-11       1.400758856179e-12      -7.199161763434e-15 
  101       3.668284419195e-10       1.060252732638e-13      -3.202206834433e-12       0.000000000000e+00       9.907717300244e-12       1.371898452218e-12      -7.129160772633e-15 
  102       3.710597494837e-10       1.079879586574e-13      -3.291422218314e-12       0.000000000000e+00       9.653966669056e-12       1.343864145399e-12      -7.061859722254e-15 
  103       3.753174408606e-10       1.099277024159e-13      -3.380611367496e-12       0.000000000000e+00       9.408704041027e-12       1.316651495035e-12      -6.996944975721e-15 
  104       3.796011497846e-10       1.118426098670e-13      -3.469704823023e-12       0.000000000000e+00       9.171736173494e-12       1.290248689656e-12      -6.934054810083e-15 
  105       3.839103660290e-10       1.137307748481e-13      -3.558632227663e-12       0.000000000000e+00       8.942793364543e-12       1.264636292913e-12      -6.872777992411e-15 
