# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.167422624308e-01       4.740010095748e+02 
       4.199482018834e-01       4.662869411327e+02 
       4.231541416173e-01       4.588374583501e+02 
       4.263600816259e-01       4.516366244567e+02 
       4.295660219031e-01       4.446746797409e+02 
       4.327719624429e-01       4.379396937411e+02 
       4.359779032396e-01       4.314231357162e+02 
       4.391838442874e-01       4.250942180967e+02 
       4.423897855809e-01       4.189145238915e+02 
       4.455957271148e-01       4.128913500877e+02 
       4.488016688838e-01       4.069965260400e+02 
       4.520076108831e-01       4.011582487953e+02 
       4.552135531076e-01       3.953986838674e+02 
       4.584194955526e-01       3.897067223677e+02 
       4.616254382136e-01       3.840777891234e+02 
       4.648313810861e-01       3.785164076015e+02 
       4.680373241656e-01       3.730275401728e+02 
       4.712432674480e-01       3.676160590554e+02 
       4.744492109291e-01       3.622887169507e+02 
       4.776551546050e-01       3.570663220793e+02 
       4.808610984716e-01       3.519322693132e+02 
       4.840670425253e-01       3.469099133850e+02 
       4.872729867622e-01       3.420137221881e+02 
       4.904789311788e-01       3.372465894655e+02 
       4.936848757716e-01       3.326086135364e+02 
       4.968908205372e-01       3.280939969603e+02 
       5.000967654722e-01       3.236909586861e+02 
       5.033027105733e-01       3.193887503810e+02 
       5.065086558375e-01       3.151768770751e+02 
       5.097146012616e-01       3.110477833978e+02 
       5.129205468426e-01       3.069949645609e+02 
       5.161264925776e-01       3.030099767489e+02 
       5.193324384638e-01       2.990910135119e+02 
       5.225383844982e-01       2.952276573314e+02 
       5.257443306783e-01       2.914160766021e+02 
       5.289502770013e-01       2.876532337250e+02 
       5.321562234647e-01       2.839396360806e+02 
       5.353621700660e-01       2.802800621883e+02 
       5.385681168026e-01       2.766796030257e+02 
       5.417740636721e-01       2.731431252835e+02 
       5.449800106723e-01       2.696717567883e+02 
       5.481859578007e-01       2.662667673939e+02 
       5.513919050553e-01       2.629266382848e+02 
       5.545978524337e-01       2.596484249250e+02 
       5.578037999338e-01       2.564327653674e+02 
       5.610097475536e-01       2.532793124910e+02 
       5.642156952909e-01       2.501879014303e+02 
       5.674216431438e-01       2.471583957238e+02 
       5.706275911104e-01       2.441874838832e+02 
       5.738335391887e-01       2.412708527739e+02 
       5.770394873769e-01       2.384028321065e+02 
       5.802454356731e-01       2.355800381303e+02 
       5.834513840755e-01       2.327989310727e+02 
       5.866573325824e-01       2.300606414061e+02 
       5.898632811922e-01       2.273648584834e+02 
       5.930692299030e-01       2.247120920520e+02 
       5.962751787134e-01       2.220997633008e+02 
       5.994811276216e-01       2.195262723758e+02 
       6.026870766261e-01       2.169899168209e+02 
       6.058930257254e-01       2.144886731233e+02 
       6.090989749181e-01       2.120247150261e+02 
       6.123049242025e-01       2.095992217952e+02 
       6.155108735773e-01       2.072139969280e+02 
       6.187168230411e-01       2.048701343145e+02 
       6.219227725924e-01       2.025676654923e+02 
       6.251287222300e-01       2.003035484796e+02 
       6.283346719526e-01       1.980761473069e+02 
       6.315406217587e-01       1.958833151871e+02 
       6.347465716472e-01       1.937251370691e+02 
       6.379525216168e-01       1.916013892319e+02 
       6.411584716663e-01       1.895120553774e+02 
       6.443644217944e-01       1.874569682934e+02 
       6.475703720001e-01       1.854342346776e+02 
       6.507763222821e-01       1.834413696994e+02 
       6.539822726394e-01       1.814764081288e+02 
       6.571882230709e-01       1.795372174290e+02 
       6.603941735754e-01       1.776249202124e+02 
       6.636001241518e-01       1.757395591837e+02 
       6.668060747993e-01       1.738822608770e+02 
       6.700120255167e-01       1.720529204504e+02 
       6.732179763030e-01       1.702518522840e+02 
       6.764239271572e-01       1.684767207089e+02 
       6.796298780785e-01       1.667256967433e+02 
       6.828358290657e-01       1.649986939266e+02 
       6.860417801181e-01       1.632957963995e+02 
       6.892477312347e-01       1.616178357835e+02 
       6.924536824146e-01       1.599656530591e+02 
       6.956596336570e-01       1.583390439080e+02 
       6.988655849609e-01       1.567372732347e+02 
       7.020715363255e-01       1.551586803147e+02 
       7.052774877500e-01       1.536017302494e+02 
       7.084834392336e-01       1.520654320322e+02 
       7.116893907755e-01       1.505498355465e+02 
       7.148953423749e-01       1.490551563433e+02 
       7.181012940309e-01       1.475820492737e+02 
       7.213072457430e-01       1.461302145659e+02 
       7.245131975103e-01       1.446987911403e+02 
       7.277191493320e-01       1.432864483871e+02 
       7.309251012076e-01       1.418920866769e+02 
       7.341310531362e-01       1.405152780008e+02 
       7.373370051171e-01       1.391558253352e+02 
       7.405429571498e-01       1.378151072236e+02 
       7.437489092334e-01       1.364927828196e+02 
       7.469548613675e-01       1.351892807015e+02 
       7.501608135512e-01       1.339039597923e+02 
       7.533667657840e-01       1.326356041822e+02 
       8.234874449805e-01       1.086185213616e+02 
       9.251239502941e-01       8.341012690921e+01 
       1.086877452770e+00       5.758210739202e+01 
