# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   82       2.922427747220e-10       6.716116442753e-14      -1.590805858741e-12       2.739119973605e-16       1.685590023606e-11       2.112628116606e-12      -8.160337894293e-15 
   83       2.959036203553e-10       6.920273912528e-14      -1.668126358511e-12       2.806592794760e-16       1.635436915500e-11       2.060277888340e-12      -8.102137713282e-15 
   84       2.995973529361e-10       7.125669384016e-14      -1.746556800960e-12       2.874904809234e-16       1.587288967080e-11       2.009845629578e-12      -8.062698155710e-15 
   85       3.033240595414e-10       7.332139295732e-14      -1.826054147763e-12       2.944058759408e-16       1.541069612768e-11       1.961273850212e-12      -8.037095895902e-15 
   86       3.070835409928e-10       7.539514937356e-14      -1.906574310584e-12       3.014057580657e-16       1.496672683941e-11       1.914476281601e-12      -8.019820065862e-15 
   87       3.108752979612e-10       7.747622431006e-14      -1.988072179870e-12       3.084904406848e-16       1.453961259731e-11       1.869336732027e-12      -8.004753770462e-15 
   88       3.146985170709e-10       7.956282712503e-14      -2.070501653629e-12       3.156602575849e-16       1.412766517813e-11       1.825707942150e-12      -7.985155602632e-15 
   89       3.185523822751e-10       8.165313986938e-14      -2.153814161023e-12       3.229155581240e-16       1.372927937997e-11       1.783447865332e-12      -7.955106609984e-15 
   90       3.224370952504e-10       8.374539577642e-14      -2.237953904970e-12       3.302566906802e-16       1.334423645616e-11       1.742537525758e-12      -7.914151616233e-15 
   91       3.263529902120e-10       8.583781279680e-14      -2.322861922824e-12       3.376840176083e-16       1.297258492585e-11       1.702979625708e-12      -7.863355302451e-15 
   92       3.303002139955e-10       8.792857013239e-14      -2.408477531282e-12       3.451979208500e-16       1.261424002494e-11       1.664762190803e-12      -7.803904990412e-15 
   93       3.342787170338e-10       9.001580841968e-14      -2.494738332622e-12       3.527988024029e-16       1.226897840918e-11       1.627857986127e-12      -7.737114112121e-15 
   94       3.382882443347e-10       9.209762991312e-14      -2.581580220939e-12       3.604870847907e-16       1.193643285727e-11       1.592223932362e-12      -7.664425679327e-15 
   95       3.423283264582e-10       9.417209866849e-14      -2.668937388377e-12       3.682632115324e-16       1.161608697401e-11       1.557800521908e-12      -7.587415753046e-15 
   96       3.463982704937e-10       9.623724072626e-14      -2.756742331368e-12       3.761276476119e-16       1.130726989337e-11       1.524511235016e-12      -7.507796913076e-15 
   97       3.504971510373e-10       9.829104429498e-14      -2.844925856865e-12       3.840808799478e-16       1.100915098161e-11       1.492261955913e-12      -7.427421727517e-15 
   98       3.546238011691e-10       1.003314599346e-13      -2.933417088582e-12       3.921234178626e-16       1.072073454039e-11       1.460940388930e-12      -7.348286222294e-15 
   99       3.587771017762e-10       1.023564477767e-13      -3.022144864298e-12       4.002557942538e-16       1.044108804357e-11       1.430442681282e-12      -7.272129668449e-15 
  100       3.629569157842e-10       1.043641264208e-13      -3.111042140141e-12       4.084785682815e-16       1.017007518418e-11       1.400758856179e-12      -7.199161763434e-15 
  101       3.671632701054e-10       1.063526455665e-13      -3.200042224620e-12       4.167923239355e-16       9.907717300244e-12       1.371898452218e-12      -7.129160772633e-15 
  102       3.713960637606e-10       1.083201416025e-13      -3.289077466011e-12       4.251976698399e-16       9.653966669056e-12       1.343864145399e-12      -7.061859722254e-15 
  103       3.756550624729e-10       1.102647383596e-13      -3.378079275454e-12       4.336952397311e-16       9.408704041027e-12       1.316651495035e-12      -6.996944975721e-15 
  104       3.799398932612e-10       1.121845478646e-13      -3.466978150050e-12       4.422856929359e-16       9.171736173494e-12       1.290248689656e-12      -6.934054810083e-15 
  105       3.842500390337e-10       1.140776710937e-13      -3.555703695957e-12       4.509697148497e-16       8.942793364543e-12       1.264636292913e-12      -6.872777992411e-15 
  106       3.885848331817e-10       1.159421987260e-13      -3.644184651489e-12       4.597480174143e-16       8.721526986831e-12       1.239786989486e-12      -6.812652356200e-15 
  107       3.929434541732e-10       1.177762118967e-13      -3.732348910212e-12       4.686213395961e-16       8.507507021403e-12       1.215665330984e-12      -6.753163377769e-15 
  108       3.973249201463e-10       1.195777829514e-13      -3.820123544040e-12       4.775904478642e-16       8.300219591515e-12       1.192227481858e-12      -6.693742752665e-15 
  109       4.017280835032e-10       1.213449761986e-13      -3.907434826333e-12       4.866561366683e-16       8.099064496456e-12       1.169420965296e-12      -6.633766972061e-15 
  110       4.061518239292e-10       1.230758965303e-13      -3.994208770070e-12       4.958192056379e-16       7.903490515065e-12       1.147196889652e-12      -6.572684114131e-15 
  111       4.105956671244e-10       1.247688407366e-13      -4.080372771088e-12       5.050803868382e-16       7.713426287879e-12       1.125548951228e-12      -6.510415714821e-15 
  112       4.150592355071e-10       1.264221670559e-13      -4.165854219343e-12       5.144404090556e-16       7.528900219811e-12       1.104478970703e-12      -6.447003902915e-15 
  113       4.195420534500e-10       1.280342502499e-13      -4.250580030473e-12       5.239000204912e-16       7.349906540375e-12       1.083984728880e-12      -6.382487620914e-15 
  114       4.240435438235e-10       1.296034828273e-13      -4.334476673954e-12       5.334599890100e-16       7.176404191513e-12       1.064059835255e-12      -6.316902461543e-15 
  115       4.285630245399e-10       1.311282762678e-13      -4.417470201266e-12       5.431211023899e-16       7.008315715413e-12       1.044693596576e-12      -6.250280504243e-15 
  116       4.330997050972e-10       1.326070622461e-13      -4.499486274043e-12       5.528841685714e-16       6.845526142337e-12       1.025870885413e-12      -6.182650151674e-15 
  117       4.376526831224e-10       1.340382938559e-13      -4.580450192242e-12       5.627500159067e-16       6.687881878439e-12       1.007572008717e-12      -6.114035966213e-15 
  118       4.422209409156e-10       1.354204468337e-13      -4.660286922293e-12       5.727194934089e-16       6.535189593587e-12       9.897725763819e-13      -6.044458506454e-15 
  119       4.468033419936e-10       1.367520207827e-13      -4.738921125266e-12       5.827934710013e-16       6.387215109193e-12       9.724433698155e-13      -5.973934163705e-15 
